initial leftsum: 131072
i: 16110, data[i]: 512, leftsum = 130560, rightSum = 512
i: 16109, data[i]: 64, leftsum = 130496, rightSum = 576
i: 16108, data[i]: 64, leftsum = 130432, rightSum = 640
i: 16107, data[i]: 128, leftsum = 130304, rightSum = 768
i: 16106, data[i]: 256, leftsum = 130048, rightSum = 1024
i: 16105, data[i]: 64, leftsum = 129984, rightSum = 1088
i: 16104, data[i]: 16, leftsum = 129968, rightSum = 1104
i: 16103, data[i]: 16, leftsum = 129952, rightSum = 1120
i: 16102, data[i]: 8, leftsum = 129944, rightSum = 1128
i: 16101, data[i]: 8, leftsum = 129936, rightSum = 1136
i: 16100, data[i]: 16, leftsum = 129920, rightSum = 1152
i: 16099, data[i]: 128, leftsum = 129792, rightSum = 1280
i: 16098, data[i]: 8, leftsum = 129784, rightSum = 1288
i: 16097, data[i]: 4, leftsum = 129780, rightSum = 1292
i: 16096, data[i]: 4, leftsum = 129776, rightSum = 1296
i: 16095, data[i]: 8, leftsum = 129768, rightSum = 1304
i: 16094, data[i]: 8, leftsum = 129760, rightSum = 1312
i: 16093, data[i]: 32, leftsum = 129728, rightSum = 1344
i: 16092, data[i]: 64, leftsum = 129664, rightSum = 1408
i: 16091, data[i]: 16, leftsum = 129648, rightSum = 1424
i: 16090, data[i]: 16, leftsum = 129632, rightSum = 1440
i: 16089, data[i]: 16, leftsum = 129616, rightSum = 1456
i: 16088, data[i]: 16, leftsum = 129600, rightSum = 1472
i: 16087, data[i]: 64, leftsum = 129536, rightSum = 1536
i: 16086, data[i]: 512, leftsum = 129024, rightSum = 2048
i: 16085, data[i]: 1024, leftsum = 128000, rightSum = 3072
i: 16084, data[i]: 8, leftsum = 127992, rightSum = 3080
i: 16083, data[i]: 8, leftsum = 127984, rightSum = 3088
i: 16082, data[i]: 16, leftsum = 127968, rightSum = 3104
i: 16081, data[i]: 16, leftsum = 127952, rightSum = 3120
i: 16080, data[i]: 8, leftsum = 127944, rightSum = 3128
i: 16079, data[i]: 8, leftsum = 127936, rightSum = 3136
i: 16078, data[i]: 32, leftsum = 127904, rightSum = 3168
i: 16077, data[i]: 16, leftsum = 127888, rightSum = 3184
i: 16076, data[i]: 16, leftsum = 127872, rightSum = 3200
i: 16075, data[i]: 16, leftsum = 127856, rightSum = 3216
i: 16074, data[i]: 16, leftsum = 127840, rightSum = 3232
i: 16073, data[i]: 16, leftsum = 127824, rightSum = 3248
i: 16072, data[i]: 16, leftsum = 127808, rightSum = 3264
i: 16071, data[i]: 32, leftsum = 127776, rightSum = 3296
i: 16070, data[i]: 32, leftsum = 127744, rightSum = 3328
i: 16069, data[i]: 64, leftsum = 127680, rightSum = 3392
i: 16068, data[i]: 32, leftsum = 127648, rightSum = 3424
i: 16067, data[i]: 16, leftsum = 127632, rightSum = 3440
